BLE Address: 842B55B99BD400
"time	ax	ay	az	gx	gy	gz	mx	my	mz"
"03/06/2025 11:24:16.212	0.997716	-0.030256	0.172996	-0.735	-0.245	4.83	-0.6165	-1.0815	-0.2655"
"03/06/2025 11:24:16.232	0.981856	-0.019764	0.160796	-10.57	-0.91	7.245	-0.6225	-1.0995	-0.2565"
"03/06/2025 11:24:16.252	0.965752	0.026108	0.14762	-18.375	-1.26	7.175	-0.621	-1.101	-0.261"
"03/06/2025 11:24:16.272	0.9333	0.03538	0.141032	-28.7	-1.505	5.705	-0.627	-1.0875	-0.2715"
"03/06/2025 11:24:16.292	0.915244	0.047824	0.1281	-36.96	-4.305	1.4	-0.615	-1.1025	-0.2775"
"03/06/2025 11:24:16.312	0.910852	0.0549	0.105408	-44.905	-6.72	-5.145	-0.621	-1.083	-0.294"
"03/06/2025 11:24:16.332	0.934032	0.027816	0.091256	-49.77	-9.59	-13.86	-0.6105	-1.083	-0.3"
"03/06/2025 11:24:16.352	0.959896	0.008052	0.078568	-48.335	-12.005	-23.03	-0.597	-1.1025	-0.2985"
"03/06/2025 11:24:16.372	0.978684	-0.00244	0.068808	-43.435	-13.055	-32.55	-0.603	-1.1025	-0.3165"
"03/06/2025 11:24:16.392	0.998204	-0.01952	0.072468	-36.89	-14.595	-42.105	-0.603	-1.1025	-0.3165"
"03/06/2025 11:24:16.412	1.029436	-0.028792	0.073688	-28.35	-16.52	-49.315	-0.5985	-1.104	-0.3195"
"03/06/2025 11:24:16.432	1.032608	-0.027816	0.061732	-18.76	-17.71	-53.69	-0.603	-1.1145	-0.33"
"03/06/2025 11:24:16.452	1.0431	-0.01586	0.061	-10.675	-20.02	-56.28	-0.591	-1.125	-0.327"
"03/06/2025 11:24:16.472	1.08214	-0.032452	0.069784	-6.65	-25.06	-56.455	-0.585	-1.1415	-0.3225"
"03/06/2025 11:24:16.492	1.082872	-0.049532	0.067588	-2.66	-26.39	-55.405	-0.57	-1.1535	-0.339"
"03/06/2025 11:24:16.512	1.06628	-0.024156	0.064904	4.445	-27.37	-53.9	-0.567	-1.164	-0.339"
"03/06/2025 11:24:16.532	1.045052	0.033916	0.038308	5.67	-28.28	-52.115	-0.5595	-1.1775	-0.339"
"03/06/2025 11:24:16.552	1.026752	0.077104	-0.00122	-1.855	-29.82	-48.755	-0.546	-1.188	-0.333"
"03/06/2025 11:24:16.572	1.0553	0.105408	-0.022936	-15.365	-33.46	-45.64	-0.5415	-1.212	-0.3195"
"03/06/2025 11:24:16.592	1.05896	0.116632	-0.07905599	-33.215	-36.435	-42.875	-0.528	-1.2135	-0.3195"
"03/06/2025 11:24:16.612	1.085312	0.126148	-0.108336	-51.415	-42.21	-41.23	-0.5205	-1.218	-0.327"
"03/06/2025 11:24:16.632	1.105564	0.116388	-0.122	-67.865	-48.965	-40.565	-0.5295	-1.215	-0.342"
"03/06/2025 11:24:16.652	1.090924	0.077836	-0.15616	-75.845	-56.245	-38.43	-0.531	-1.23	-0.3495"
"03/06/2025 11:24:16.672	1.061156	0.060756	-0.19398	-65.94	-62.125	-38.29	-0.534	-1.233	-0.348"
"03/06/2025 11:24:16.692	1.040904	0.116876	-0.198372	-41.055	-67.515	-42.455	-0.522	-1.2375	-0.354"
"03/06/2025 11:24:16.712	1.030412	0.178852	-0.183732	-22.33	-71.295	-47.705	-0.4995	-1.2255	-0.3465"
"03/06/2025 11:24:16.732	1.0553	0.217404	-0.140544	-8.47	-74.935	-58.905	-0.504	-1.2405	-0.3495"
"03/06/2025 11:24:16.752	1.086044	0.25132	-0.114192	-3.64	-74.305	-64.715	-0.504	-1.2405	-0.3495"
"03/06/2025 11:24:16.772	1.0919	0.260348	-0.07515199	-1.33	-70.245	-69.405	-0.471	-1.2405	-0.3555"
"03/06/2025 11:24:16.792	1.119716	0.26352	-0.022936	-1.75	-65.94	-74.585	-0.471	-1.2525	-0.3405"
"03/06/2025 11:24:16.812	1.12972	0.268644	-0.01098	-3.99	-61.915	-76.825	-0.4695	-1.278	-0.351"
"03/06/2025 11:24:16.832	1.108004	0.284992	0.006832	-7.735	-57.155	-76.65	-0.477	-1.2675	-0.36"
"03/06/2025 11:24:16.852	1.101904	0.2989	0.015372	-13.44	-50.89	-76.195	-0.4545	-1.2825	-0.348"
"03/06/2025 11:24:16.872	1.075552	0.29402	0.014396	-20.195	-44.73	-71.715	-0.4425	-1.2975	-0.3495"
"03/06/2025 11:24:16.892	1.056764	0.303292	0.007564	-28.805	-38.99	-66.605	-0.423	-1.293	-0.3525"
"03/06/2025 11:24:16.912	1.047492	0.29524	0.028304	-36.68	-32.095	-61.81	-0.4065	-1.2915	-0.3525"
"03/06/2025 11:24:16.932	1.015284	0.292312	-0.000244	-42	-24.185	-56.105	-0.4065	-1.305	-0.36"
"03/06/2025 11:24:16.952	0.98942	0.279868	-0.043676	-44.24	-18.55	-50.19	-0.4035	-1.3125	-0.345"
"03/06/2025 11:24:16.972	0.962092	0.309148	-0.052216	-46.48	-10.465	-47.635	-0.4035	-1.326	-0.36"
"03/06/2025 11:24:16.992	0.913292	0.323056	-0.074176	-49.49	-2.45	-43.75	-0.3915	-1.314	-0.354"
"03/06/2025 11:24:17.012	0.863516	0.321104	-0.134688	-59.22	1.12	-39.62	-0.3915	-1.314	-0.354"
"03/06/2025 11:24:17.032	0.8357	0.298412	-0.183732	-59.465	-0.175	-35.63	-0.3915	-1.314	-0.354"
"03/06/2025 11:24:17.052	0.827404	0.290848	-0.20008	-45.57	-1.365	-35.595	-0.381	-1.335	-0.3705"
